theta_cm_deg,fresco_mb_sr,scaled_mb_sr
63.2,0.004346,0.0005193393297
63.3,0.004299,0.0005137229126
63.4,0.004252,0.0005081064956
63.5,0.004205,0.0005024900785
63.6,0.004158,0.0004968736615
63.7,0.004112,0.0004913767427
63.8,0.004065,0.0004857603256
63.9,0.004018,0.0004801439086
64,0.003972,0.0004746469897
64.1,0.003926,0.0004691500709
64.2,0.00388,0.0004636531521
64.3,0.003834,0.0004581562333
64.4,0.003788,0.0004526593145
64.5,0.003742,0.0004471623957
64.6,0.003697,0.0004417849751
64.7,0.003652,0.0004364075545
64.8,0.003607,0.0004310301339
64.9,0.003562,0.0004256527134
65,0.003517,0.0004202752928
65.1,0.003472,0.0004148978722
65.2,0.003428,0.0004096399499
65.3,0.003384,0.0004043820275
65.4,0.00334,0.0003991241052
65.5,0.003296,0.0003938661828
65.6,0.003252,0.0003886082605
65.7,0.003209,0.0003834698364
65.8,0.003165,0.000378211914
65.9,0.003122,0.0003730734899
66,0.003079,0.0003679350658
66.1,0.003037,0.0003629161399
66.2,0.002994,0.0003577777158
66.3,0.002952,0.00035275879
66.4,0.00291,0.0003477398641
66.5,0.002868,0.0003427209382
66.6,0.002826,0.0003377020123
66.7,0.002785,0.0003328025847
66.8,0.002743,0.0003277836588
66.9,0.002702,0.0003228842312
67,0.002662,0.0003181043018
67.1,0.002621,0.0003132048741
67.2,0.002581,0.0003084249447
67.3,0.002541,0.0003036450153
67.4,0.002501,0.0002988650859
67.5,0.002462,0.0002942046548
67.6,0.002422,0.0002894247254
67.7,0.002383,0.0002847642942
67.8,0.002345,0.0002802233613
67.9,0.002306,0.0002755629301
68,0.002268,0.0002710219972
68.1,0.002231,0.0002666005625
68.2,0.002193,0.0002620596295
68.3,0.002156,0.0002576381948
68.4,0.002119,0.0002532167601
68.5,0.002083,0.0002489148237
68.6,0.002047,0.0002446128872
68.7,0.002011,0.0002403109507
68.8,0.001976,0.0002361285125
68.9,0.001941,0.0002319460743
69,0.001906,0.0002277636361
69.1,0.001872,0.0002237006961
69.2,0.001838,0.0002196377561
69.3,0.001805,0.0002156943143
69.4,0.001772,0.0002117508726
69.5,0.001739,0.0002078074308
69.6,0.001707,0.0002039834873
69.7,0.001675,0.0002001595438
69.8,0.001644,0.0001964550985
69.9,0.001613,0.0001927506532
70,0.001582,0.0001890462079
70.1,0.001553,0.0001855807591
70.2,0.001523,0.000181995812
70.3,0.001494,0.0001785303632
70.4,0.001466,0.0001751844126
70.5,0.001438,0.000171838462
70.6,0.00141,0.0001684925115
70.7,0.001384,0.0001653855574
70.8,0.001357,0.000162159105
70.9,0.001332,0.0001591716491
71,0.001306,0.000156064695
71.1,0.001282,0.0001531967374
71.2,0.001258,0.0001503287797
71.3,0.001234,0.0001474608221
71.4,0.001212,0.0001448318609
71.5,0.001189,0.0001420834015
71.6,0.001168,0.0001395739386
71.7,0.001147,0.0001370644756
71.8,0.001127,0.0001346745109
71.9,0.001107,0.0001322845462
72,0.001088,0.0001300140798
72.1,0.00107,0.0001278631115
72.2,0.001052,0.0001257121433
72.3,0.001035,0.0001236806733
72.4,0.001019,0.0001217687015
72.5,0.001004,0.000119976228
72.6,0.0009888,0.0001181598548
72.7,0.0009748,0.0001164868796
72.8,0.0009615,0.000114897553
72.9,0.000949,0.0001134038251
73,0.0009371,0.0001119817961
73.1,0.0009261,0.0001106673155
73.2,0.0009157,0.0001094245339
73.3,0.0009062,0.0001082893006
73.4,0.0008973,0.0001072257663
73.5,0.0008893,0.0001062697805
73.6,0.0008819,0.0001053854935
73.7,0.0008754,0.000104608755
73.8,0.0008695,0.0001039037154
73.9,0.0008644,0.0001032942744
74,0.0008601,0.000102780432
74.1,0.0008565,0.0001023502383
74.2,0.0008536,0.0001020036935
74.3,0.0008514,0.0001017407973
74.4,0.00085,0.0001015734998
74.5,0.0008492,0.0001014779012
74.6,0.0008492,0.0001014779012
74.7,0.0008499,0.00010156155
74.8,0.0008512,0.0001017168977
74.9,0.0008532,0.0001019558942
75,0.0008559,0.0001022785394
75.1,0.0008592,0.0001026728836
75.2,0.0008631,0.0001031389267
75.3,0.0008677,0.0001036886186
75.4,0.0008728,0.0001042980596
75.5,0.0008786,0.0001049911493
75.6,0.000885,0.000105755938
75.7,0.0008919,0.0001065804759
75.8,0.0008994,0.0001074767126
75.9,0.0009074,0.0001084326985
76,0.0009159,0.0001094484335
76.1,0.000925,0.0001105358675
76.2,0.0009346,0.0001116830505
76.3,0.0009446,0.0001128780329
76.4,0.0009551,0.0001141327643
76.5,0.0009661,0.0001154472449
76.6,0.0009775,0.0001168095248
76.7,0.0009893,0.000118219604
76.8,0.001002,0.0001197372316
76.9,0.001014,0.0001211712104
77,0.001027,0.0001227246874
77.1,0.001041,0.0001243976627
77.2,0.001054,0.0001259511398
77.3,0.001068,0.0001276241151
77.4,0.001083,0.0001294165886
77.5,0.001098,0.0001312090621
77.6,0.001113,0.0001330015356
77.7,0.001128,0.0001347940092
77.8,0.001143,0.0001365864827
77.9,0.001159,0.0001384984545
78,0.001175,0.0001404104262
78.1,0.001191,0.000142322398
78.2,0.001208,0.000144353868
78.3,0.001224,0.0001462658397
78.4,0.001241,0.0001482973097
78.5,0.001258,0.0001503287797
78.6,0.001275,0.0001523602497
78.7,0.001292,0.0001543917197
78.8,0.001309,0.0001564231897
78.9,0.001327,0.000158574158
79,0.001344,0.0001606056279
79.1,0.001361,0.0001626370979
79.2,0.001379,0.0001647880662
79.3,0.001396,0.0001668195362
79.4,0.001413,0.0001688510062
79.5,0.001431,0.0001710019744
79.6,0.001448,0.0001730334444
79.7,0.001465,0.0001750649144
79.8,0.001482,0.0001770963844
79.9,0.001498,0.0001790083562
80,0.001515,0.0001810398261
80.1,0.001531,0.0001829517979
80.2,0.001547,0.0001848637697
80.3,0.001563,0.0001867757414
80.4,0.001579,0.0001886877132
